"filename", "language", "JSON", "JSON with Comments", "Markdown", "Shell Script", "JavaScript", "CSS", "pip requirements", "HTML", "Python", "TypeScript", "vue", "XML", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\README.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\automeraki.code-workspace", "JSON with Comments", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\backend\configurations\282061\default.json", "JSON", 925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 925
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\backend\configurations\645703596574244875\auBureau.json", "JSON", 755, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 758
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\backend\configurations\738027388935340172\bk.json", "JSON", 725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 726
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\backend\configurations\738027388935340172\default.json", "JSON", 492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 492
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\backend\configurations\738027388935341282\default.json", "JSON", 613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 618
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\backend\configurations\templateTemplate.json", "JSON", 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 238
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\backend\configurations\tmp.json", "JSON", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\backend\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 510, 0, 0, 0, 107, 326, 943
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\backend\run.sh", "Shell Script", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\extension\background.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
